nom,adresse,telephone,email
"BIBLIOTHÈQUE GEORGES BRASSENS","38, rue Gassendi","01 53 90 30 30","bibliotheque.georges-brassens@paris.fr"
"Bibliothèque Aimé Césaire","5, rue de Ridder","01 45 41 24 74","bibliotheque.aime-cesaire@paris.fr"
"Bibliothèque benoîte groult","25, rue du commandant René Mouchotte","01 43 22 42 18","bibliotheque.benoite-groult@paris.fr"
"BIBLIOTHÈqUE ANDRÉE CHEDID","36-40, rue Emeriau","01 45 77 63 40","bibliotheque.andree-chedid@paris.fr"
"Bibliothèque Gutenberg","8, rue de la Montagne d’Aulas","01 45 54 69 76","bibliotheque.gutenberg@paris.fr"
"Bibliothèque Vaugirard","154, rue Lecourbe","01 48 28 77 42","bibliotheque.vaugirard@paris.fr"
"Médiathèque Marguerite Yourcenar","41, rue d’Alleray","01 45 30 71 41","mediatheque.marguerite-yourcenar@paris.fr"
"BIBLIOTHÈqUE DE LA MAISON DE BALZAC","47, rue Raynouard","01 55 74 41 83","balzac.bibdoc@paris.fr"
"Bibliothèque Germaine Tillion","6, rue du Commandant Schloesing","01 47 04 70 85","bibliotheque.germaine-tillion@paris.fr"
"Bibliothèque du tourisme et des voyages (btv)","mêmes adresse que Germaine Tillion","mêmes téléphone que Germaine Tillion","btv@paris.fr"
"Bibliothèque Musset","20, rue de Musset","01 45 25 69 83","bibliotheque.musset@paris.fr"
"BIBLIOTHÈqUE Batignolles","Mairie, 18 rue des Batignolles","01 44 69 18 30","bibliotheque.batignolles@paris.fr"
"Bibliothèque Colette Vivier","6, rue Fourneyron","01 42 28 69 94","bibliotheque.colette-vivier@paris.fr"
"Médiathèque Edmond Rostand","11, rue Nicolas Chuquet","01 48 88 07 17","mediatheque.edmond-rostand@paris.fr"
"Bibliothèque Robert Sabatier","29, rue Hermel","01 53 41 35 60","bibliotheque.robert-sabatier@paris.fr"
"Bibliothèque Goutte d’Or","2-4, rue Fleury","01 53 09 26 10","bibliotheque.goutte-dor@paris.fr"
"Bibliothèque Maurice Genevoix","19, rue Tristan Tzara","01 46 07 35 05","bibliotheque.maurice-genevoix@paris.fr"
"Bibliothèque Jacqueline de Romilly","16, avenue de la Porte-Montmartre","01 42 55 60 20","bibliotheque.jacqueline-deromilly@paris.fr"
"Bibliothèque Václav Havel","26, esplanade Nathalie Sarraute","01 40 38 65 40","bibliotheque.vaclav-havel@paris.fr"
"BIBLIOTHÈqUE BENJAMIN RABIER","141, avenue de Flandre","01 42 09 31 24","bibliotheque.benjamin-rabier@paris.fr"
"Bibliothèque Claude Lévi-Strauss","41, avenue de Flandre","01 40 35 96 46","bibliotheque.claude.levi-strauss@paris.fr"
"Bibliothèque Astrid Lindgren","42-44, rue Petit","01 42 45 56 40","bibliotheque.crimee@paris.fr"
"Bibliothèque des Archives de Paris","18, boulevard Sérurier","01 53 72 41 26","dac.archives@paris.fr"
"Bibliothèque Jacqueline Dreyfus-Weill","6, rue Fessart","01 42 08 49 15","bibliotheque.fessart@paris.fr"
"Bibliothèque Hergé","2-4, rue du Département","01 40 38 18 08","bibliotheque.herge@paris.fr"
"Médiathèque James Baldwin","10 bis, Rue Henri Ribière","01 44 52 27 70","mediatheque.james-baldwin@paris.fr"
"Bibliothèque Naguib Mahfouz","66, rue des Couronnes","01 40 33 26 01","bibliotheque.couronnes@paris.fr"
"Bibliothèque Mortier","113, boulevard Mortier","01 43 61 74 64","bibliotheque.mortier@paris.fr"
"Bibliothèque Louise Michel","29/35, rue des Haies","01 58 39 32 10","bibliotheque.louise-michel@paris.fr"
"Bibliothèque Oscar Wilde","12, rue du Télégraphe","01 43 66 84 29","bibliotheque.oscar-wilde@paris.fr"
"Bibliothèque Maryse Condé","17, rue Sorbier","01 46 36 17 79","bibliotheque.sorbier@paris.fr"
"Médiathèque Marguerite Duras","115, rue de Bagnolet","01 55 25 49 10","mediatheque.marguerite-duras@paris.fr"
"Bibliothèque Assia Djebar","1, rue Reynaldo Hahn","01 84 82 19 50","bibliotheque.assia-djebar@paris.fr"
