Titre,image,information,templateavis,type1,information_lien
MES AMIS,https://assets.edenlivres.fr/medias/a5/87fbb75fee8939d00ec58efddcc4c635315a80.jpg?h=-&w=200,"
	 Matar, Hisham. Auteur     Editions Gallimard   | 2025 
","
		 En ce soir de novembre 2016, alors qu’ils se séparent à la gare de King’s Cross, Khaled et Hossam sa...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782073086129/mes-amis
JUNG,https://assets.edenlivres.fr/medias/a5/abb856acd9a615a241440f40b06239b46b0721.jpg?h=-&w=200,"
	 Gaillard, Christian. Auteur     Humensis   | 2024 
","
		 Comment aborder la psychologie jungienne, objet de tant d’opinions hâtives ou d’enthousiasmes mal fo...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782715428300/jung
AGATHA RAISIN ENQUÊTE 25 - AU THÉÂTRE CE SOIR,https://couverture.numilog.com/9782226444219_W300.jpg,"
	 Beaton, M.C. (1936-2019). Auteur     Albin Michel. Paris   | 2020 
","
		 Un acteur de la troupe de théâtre locale est retrouvé empalé à la fin d'une représentation à laquell...
",Agatha Raisin enquête,https://bibliotheques.paris.fr/numerique/doc/DILICOM/3664181200207/agatha-raisin-enquete-25-au-theatre-ce-soir
LES BESOINS ARTIFICIELS,https://assets.cantook.net/medias/79/bae6d051dbfc0de25492bb2cab4b32e06940f6.jpg?h=-&w=200,"
	 Keucheyan, Razmig (1975-....). Auteur     La Découverte. Paris   | 2023 
","
		 Une critique du capitalisme qui engendre des besoins artificiels toujours nouveaux et favoriserait u...
",La Découverte poche,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782348082801/les-besoins-artificiels
LE MAGICIEN QUANTIQUE,https://couverture.numilog.com/9782226439079_W300.jpg,"
	 Künsken, Derek. Auteur     Albin Michel. Paris   | 2020 
","
		 Homme quantique, Belisarius Arjona a été créé pour repousser les capacités cognitives de l'humain. I...
",Cycle de l'évolution quantique,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9622897800788/le-magicien-quantique
ÉTAT DES LIEUX,https://assets.cantook.net/medias/bf/3c351a65fb634f574d2d0de69d6e63ad86e0ca.jpg?h=-&w=200,"
	 Levy, Deborah. Auteur     Editions du sous-sol   | 2021 
","
		 Nous avions quitté Deborah Levy gravissant sur son vélo électrique les collines de Londres et écriva...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782364689305/etat-des-lieux
LES TEMPS ULTRAMODERNES,https://couverture.numilog.com/9782226461599_W300.jpg,"
	 Genefort, Laurent (1968-....). Auteur     Albin Michel. Paris   | 2022 
","
		 En 1895, d'énormes gisements de cavorite, un métal capable d'annuler la gravité, sont découverts. C'...
",Imaginaire,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9622899770782/les-temps-ultramodernes
MY ABSOLUTE DARLING,https://couverture.numilog.com/9782351787205_W300.jpg,"
	 Tallent, Gabriel (1987-....). Auteur     Gallmeister. Paris   | 2019 
","
		 A 14 ans, Turtle Alveston arpente seule les bois de la côte nord de la Californie. Ayant grandi avec...
",Totem,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9627012061174/my-absolute-darling
HISTOIRE DU PEUPLE HÉBREU,https://assets.edenlivres.fr/medias/79/b246c9fbd24043136b06cddfdd26dcfec147b5.jpg?h=-&w=200,"
	 Lemaire, André (1942-....). Auteur     Que sais-je ?. Paris   | 2023 
","
		 Synthèse sur les grandes périodes de l'histoire ancienne du peuple hébreu, de l'époque des patriarch...
",Que sais-je ?,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782715415874/histoire-du-peuple-hebreu
LA CITÉ ET LES ASTRES,https://assets.edenlivres.fr/medias/26/e350166d43395bbd9342504f92d6d43f93b1cd.jpg?h=-&w=200,"
	 Clarke, Arthur C.. Auteur     Denoël   | 2023 
","
		 Jadis, les hommes exploraient les galaxies, mais ils en ont été chassés par des ennemis dont le souv...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782207172155/la-cite-et-les-astres
MARSEILLE 73,https://assets.cantook.net/medias/c9/914cfe7bb92a4c3ee3c6c86f85631fe18f9785.jpg?h=-&w=200,"
	 Manotti, Dominique (1942-....). Auteur     Les Arènes. Paris   | 2020 
","
		 1973. En six mois, plus de cinquante Arabes, essentiellement des Algériens, sont abattus en France, ...
",Equinox,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9791037501790/marseille-73
HAMNET,https://assets.cantook.net/medias/44/2b8eb59d1f3b1594e1a692e13f491c87606824.jpg?h=-&w=200,"
	 O'Farrell, Maggie (1972-....). Auteur     Belfond. Paris   | 2021 
","
		 XVIe siècle, Stratford-upon-Avon, Agnes passe son temps à cueillir des plantes médicinales plutôt qu...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782714495945/hamnet
ALIAS EMMA,https://assets.cantook.net/medias/c9/057f7c1c7f2ecc3b68dab468695b7c426e5d24.jpg?h=-&w=200,"
	 Glass, Ava (1974-....). Auteur     Les Arènes. Paris   | 2023 
","
		 Agée de 25 ans, Emma Makepeace travaille au M16, une agence dirigée par Ripley. Elle a pour mission ...
",Equinox,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9791037509000/alias-emma
LE COUPLE D'À CÔTÉ : THRILLER PSYCHOLOGIQUE P...,https://assets.cantook.net/medias/b4/ec492c514dd0f9ba1f2ed01cc2d16cb5386959.jpg?h=-&w=200,"
	 Lapena, Shari (1960-....). Auteur     Presses de la Cité. Paris   | 2017 
","
		 Anne et Marco sont invités à dîner chez leurs voisins, mais la baby-sitter annule sa venue. Les mais...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782258165564/le-couple-d-a-cote-thriller-psychologique-par-shari-lapena
LE MAGICIEN D'OZ,https://assets.cantook.net/medias/56/3e7e45e7fa4410d9bc4ea33605419e551643da.jpg?h=-&w=200,"
	 Baum, L. Frank (1856-1919). Auteur     Pocket. Paris   | 2015 
","
		 Au Kansas, Dorothée et Toto, son petit chien, sont emportés par un cyclone au pays du grand magicien...
",Classiques à petit prix,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823850338/le-magicien-d-oz
42 DEGRÉS,https://assets.cantook.net/medias/8c/7bd8c76edd18fd298dfc879b1312365297bdfa.jpg?h=-&w=200,"
	 Harlander, Wolf (1958-....). Auteur     Hervé Chopin éditions. Bordeaux   | 2022 
","
		 Un été infernal s'installe dans toute l'Europe, asséchant les rivières, provoquant des incendies inc...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782357206526/42-degres
FERMER LES YEUX,https://assets.cantook.net/medias/33/05e7400af8bcfa2e5e04b65aa5889fdb4b0028.jpg?h=-&w=200,"
	 Renand, Antoine (1979-....). Auteur     R. Laffont. Paris   | 2020 
","
		 Dominique Tassi, gendarme à la retraite, regarde un reportage à la télévision et comprend qu'il a en...
",La bête noire,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782221250136/fermer-les-yeux
EXTINCTION,https://assets.cantook.net/medias/07/e7497dbbb7baab7fe9f54293051f07e85f9931.jpg?h=-&w=200,"
	 Mather, Matthew. Auteur     Fleuve éditions. Paris   | 2015 
","
		 New York, veille de Noël. Une gigantesque tempête de neige met la ville hors du monde. Les communica...
",Fleuve noir,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823849851/extinction
DERRIÈRE LA HAINE,https://assets.cantook.net/medias/7e/8c932a77eeec4f9628e12317c5e0306b94a13d.jpg?h=-&w=200,"
	 Abel, Barbara (1969-....). Auteur     Fleuve noir. Paris   | 2012 
","
		 2 couples, Tiphaine et Sylvain et Miléna et David, voisins du même âge, sont devenus inséparables. U...
",Thriller,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823814453/derriere-la-haine
L'AUTRE MOITIÉ DU MONDE,https://assets.cantook.net/medias/b5/b4091b2d3a72260ce2678618d1133aca6f1d3d.jpg?h=-&w=200,"
	 Roux, Laurine (1978-....). Auteur     les Ed. du Sonneur. Paris   | 2022 
","
		 Au début des années 1930, la jeune Toya grandit dans les salines du delta de l'Ebre, en Espagne, par...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782373852554/l-autre-moitie-du-monde
À L'ADRESSE DU BONHEUR,https://assets.cantook.net/medias/a1/d86a65ceb6ebc938d41d285bdc018ea8e3bd20.jpg?h=-&w=200,"
	 Fouchet, Lorraine (1956-....). Auteur     Ed. Héloïse d'Ormesson. Paris   | 2022 
","
		 En lisant le journal, le médecin Pierre Saint-Jarme constate que Ker Joie, la maison de famille vend...
",Littérature française,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782350878348/a-l-adresse-du-bonheur
LA CHASSE AU TRÉSOR,https://assets.cantook.net/medias/70/8f0098b87a3c9d0adc77580219080888598dda.jpg?h=-&w=200,"
	 Camilleri, Andrea (1925-2019). Auteur     Fleuve éditions. Paris   | 2015 
","
		 Quand son intervention a été réclamée sur les lieux d'une fusillade chez les vieux Palmisano, Montal...
",Une enquête du commissaire Montalbano,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823831955/la-chasse-au-tresor
MYSTÈRE RUE DES SAINTS-PÈRES,https://assets.cantook.net/medias/25/530e423ca15662acca1abade6f3bd72d136fd8.jpg?h=-&w=200,"
	 Izner, Claude. Auteur     10-18. Paris   | 2011 
","
		 A Paris, en juin 1889, Victor Legris, libraire rue des Saints-Pères, enquête sur une série de morts ...
",10-18,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823813296/mystere-rue-des-saints-peres
SE RÉSOUDRE AUX ADIEUX,https://assets.cantook.net/medias/7e/6e4d238f70f971c41f4968a00d5488d96ef083.jpg?h=-&w=200,"
	 Besson, Philippe (1967-....). Auteur     Julliard. Paris   | 2010 
","
		 Dans une rupture non consentie, le plus douloureux n'est pas la séparation, mais la solitude qui s'e...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782260022749/se-resoudre-aux-adieux
LA NEIGE ETAIT SALE,https://assets.cantook.net/medias/27/d9a72d0e32c8e101d9684fcd3db27b58349276.jpg?h=-&w=200,"
	 SIMENON, Georges. Auteur     PLACE DES EDITEURS   | 2012 
","
		 L'amour rédempteurSous l'occupation allemande, Frank Friedmaier vit dans une oisiveté dorée, chez sa...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782258111943/la-neige-etait-sale
LA MAGIE DU RANGEMENT,https://assets.cantook.net/medias/53/f7b87cfd4f9521e388405b5cd51757b5f418e6.jpg?h=-&w=200,"
	 Kondo, Marie. Auteur     First Editions. Paris   | 2015 
","
		 Une méthode pour améliorer son quotidien et s'épanouir en rangeant de façon rationnelle et constante...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782412015025/la-magie-du-rangement
L'ODEUR DE LA NUIT,https://assets.cantook.net/medias/f0/f135a244daef4b8b3fd294e5b8e0e901d1f43e.jpg?h=-&w=200,"
	 CAMILLERI, Andrea. Auteur     UNIVERS POCHE   | 2013 
","
		 Un homme d'affaires marron disparaît de Vigàta, et avec lui, les économies de bon nombre d'habitants...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823815276/l-odeur-de-la-nuit
A DÉCOUVERT,https://assets.cantook.net/medias/87/f1322528be1bc4e5d6dc43ab93141a2f2ae01d.jpg?h=-&w=200,"
	 Coben, Harlan (1962-....). Auteur     Fleuve noir. Paris   | 2012 
","
		 Nouveau lycée et nouvelle vie pour Mickey Bolitar, un adolescent venu s'installer chez son oncle sui...
",Noirs,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823832778/a-decouvert
LES CENDRES D'ANGELA,https://assets.cantook.net/medias/9c/364575accaa385dfa2e96634a5615bbbbfc208.jpg?h=-&w=200,"
	 McCourt, Frank (1930-2009). Auteur     Belfond. Paris   | 2017 
","
		 Le récit véridique d'une enfance irlandaise ravagée par la pauvreté, la maladie et la mort, transfig...
",Littérature étrangère,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782714483089/les-cendres-d-angela
LES OUBLIÉS DE L'AMAS,https://assets.cantook.net/medias/3f/0996ef373733424ea6917c9e179fd166867671.jpg?h=-&w=200,"
	 Soulas, Floriane (1989-....). Auteur     Scrineo. Paris   | 2021 
","
		 L'humanité a colonisé tout le Système solaire à l'exception de Jupiter, restée inatteignable. Au fil...
",SF,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782367409245/les-oublies-de-l-amas
LA FEMME AU DRAGON ROUGE,https://assets.cantook.net/medias/ea/6d9934bcaa328e9c546ce6e802e7653c008968.jpg?h=-&w=200,"
	 Santos, José Rodrigues dos (1964-....). Auteur     Hervé Chopin éditions. Bordeaux   | 2023 
","
		 Au cours d'une fusillade devant la terrasse d'un café du temple d'Or d'Amritsar, une jeune femme voi...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782357207127/la-femme-au-dragon-rouge
